Feature,Importance
deposit_type_No Deposit,0.13466411383208055
deposit_type_Non Refund,0.11811250968696241
country_PRT,0.1059111822974314
total_of_special_requests,0.05684749343540582
lead_time,0.05487006535175934
previous_cancellations,0.045488325737586495
lead_time_category_Last-Minute,0.030947479326077044
market_segment_Online TA,0.02954085455949063
required_car_parking_spaces,0.0280422519436585
agent,0.02597975673836089
customer_type_Transient,0.02449362038853217
customer_type_Transient-Party,0.022115322208007555
booking_changes,0.0220457842678683
lead_time_category_Long-Term,0.021223595818620634
market_segment_Groups,0.020581367933572715
customer_segment_Last-Minute Booker,0.020553303509242622
adr,0.01825851231888938
customer_segment_Early Planner,0.017981425666912246
market_segment_Offline TA/TO,0.013756024645897253
assigned_room_type_A,0.013362783418048314
market_segment_Direct,0.010115621295466426
total_stay,0.008965278840309579
distribution_channel_TA/TO,0.008739115275191224
country_GBR,0.007168102397110389
hotel_Resort Hotel,0.007108546036991068
assigned_room_type_D,0.007017068721347259
arrival_date_week_number,0.006497412476834394
distribution_channel_Direct,0.006013245769008767
country_DEU,0.0059944555085807115
customer_segment_Regular Customer,0.005944361819026003
country_FRA,0.005308609351573065
stays_in_week_nights,0.0051966249274269394
reserved_room_type_A,0.005002297914196867
total_guests,0.004720596711045039
previous_bookings_not_canceled,0.0045012163956289295
company,0.004405838132192613
hotel_City Hotel,0.004142156935475753
lead_time_category_Medium-Term,0.00382844693820438
stays_in_weekend_nights,0.0037599769272865014
adults,0.0037259472514584737
days_in_waiting_list,0.002813647539072718
country_ESP,0.0026158667196378017
meal_SC,0.0025865849931678976
customer_type_Contract,0.002432875693219169
meal_BB,0.0024063630876109132
customer_segment_Repeated Guest,0.002168643122939872
lead_time_category_Short-Term,0.0021396301279893166
children,0.0019825022078617657
reserved_room_type_D,0.001834409558020283
distribution_channel_Corporate,0.0017889345108588548
is_repeated_guest,0.001671258846754357
meal_HB,0.0015699293528272323
season_Summer,0.001375899669877368
season_Autumn,0.001291742194735599
market_segment_Corporate,0.0012298407704234213
season_Spring,0.0009932225205302775
season_Winter,0.000989223064408809
arrival_date_month_July,0.0009868259696475343
arrival_date_month_August,0.0009326344580068543
arrival_date_month_September,0.0009274660977650732
arrival_date_month_February,0.0008950823152939604
country_IRL,0.0008518963661973381
arrival_date_month_October,0.0008289810949394323
country_AGO,0.0008242084255915987
country_CHN,0.0007928714968363445
meal_Undefined,0.0007194397896876547
country_ITA,0.0007091581903783227
arrival_date_month_November,0.0007071238188761436
assigned_room_type_E,0.0006955735368815569
country_AUT,0.0006559738627579387
arrival_date_month_May,0.0006555463298190052
arrival_date_month_June,0.0006322572727318837
customer_segment_Corporate Customer,0.0006114400762543735
reserved_room_type_E,0.0006097771854039023
arrival_date_month_March,0.0005975245284221002
meal_FB,0.0005831476336891094
assigned_room_type_B,0.0005735213521489393
arrival_date_month_January,0.0005638163543629624
arrival_date_month_April,0.0005521294742066641
assigned_room_type_F,0.0005468995431145256
arrival_date_month_December,0.0005461015435557177
country_NLD,0.0005216759959714132
assigned_room_type_C,0.00043381769413133083
country_BRA,0.00041625152288999565
reserved_room_type_G,0.000412712900665796
country_CN,0.00035843897026051195
country_BEL,0.0003235703038536242
reserved_room_type_F,0.00029508830890528573
country_USA,0.00029244439612422196
assigned_room_type_G,0.00029014002741666224
